collection,path,step,scene,source_pool,has_session_json,has_fit_json,fit_ready,annotation_status,verdict,exclusion_reason,fit_rmse_total_px,fit_rmse_u_px,fit_rmse_v_px,rmse_pass_le_5px,rmse_pass_le_10px,num_picked_pairs,elapsed_seconds_raw,elapsed_seconds_plausible_for_summary,timing_exclusion_reason,replacement_count,clear_count,distance_agreement_status,fit_json,session_json,distance_agreement_available_current,distance_sampled_points,distance_missing_depth_points,distance_scene_error_count,distance_near_points_0_10m,distance_middle_points_10_100m,distance_far_points_100_inf,distance_max_error_percent_of_picked_range,distance_median_error_percent_of_picked_range,distance_mean_error_percent_of_picked_range,distance_max_error_m,distance_median_error_m,distance_all_points_pass_le_1pct,distance_all_points_pass_le_5pct,candidate_rmse5_distance5_current
IHTest_202104_DistStA,path27,path27_step28,IHTest_202104_DistStA / path27 / path27_step28,with_prior_cyl,False,True,True,missing_session_json,,,5.1177440827834735,5.034611393311424,0.9186907070413107,False,True,11,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path27/path27_step28/fit.json,,True,11,0,0,0,11,0,3.2640857445604277,0.6672796819102216,1.0264318587357568,0.7401287384481101,0.24806741383539332,False,True,False
IHTest_202104_DistStA,path27,path27_step8,IHTest_202104_DistStA / path27 / path27_step8,with_prior_cyl,False,True,True,missing_session_json,,,3.104341634579123,2.8389106165424054,1.2559950220698322,True,True,9,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path27/path27_step8/fit.json,,True,9,0,0,0,9,0,2.8210722388660256,0.18151134452171494,0.5171175206998968,1.0999331955760567,0.0456776716752465,False,True,True
IHTest_202104_DistStA,path29,path29_step1,IHTest_202104_DistStA / path29 / path29_step1,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,computed_r4p0_frozen,,,False,0,0,0,0,0,0,,,,,,False,False,False
IHTest_202104_DistStA,path29,path29_step10,IHTest_202104_DistStA / path29 / path29_step10,with_prior_cyl,False,True,True,missing_session_json,,,2.2368232251592004,2.179454702843198,0.5033441554903302,True,True,9,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step10/fit.json,,True,9,0,0,0,9,0,8.990356858075236,0.22403175396655123,1.8321615060427108,1.9336493568641657,0.06114456012080183,False,False,False
IHTest_202104_DistStA,path29,path29_step12,IHTest_202104_DistStA / path29 / path29_step12,with_prior_cyl,False,True,True,missing_session_json,,,5.966499685582041,5.678644868873851,1.8308770988963927,False,True,8,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step12/fit.json,,True,8,0,0,0,8,0,18.541802221996875,1.0223445928408337,4.698245908470402,8.629504321964788,0.2306029827192102,False,False,False
IHTest_202104_DistStA,path29,path29_step13,IHTest_202104_DistStA / path29 / path29_step13,with_prior_cyl,False,True,True,missing_session_json,,,0.8796027922018322,0.839040678914861,0.26402994370970273,True,True,8,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step13/fit.json,,True,8,0,0,0,8,0,3.3528454589950862,0.31954724873556994,0.6341793041861662,0.8061149126837428,0.055138965607262946,False,True,True
IHTest_202104_DistStA,path29,path29_step16,IHTest_202104_DistStA / path29 / path29_step16,with_prior_cyl,False,True,True,missing_session_json,,,75.67704049221797,74.47520794647123,13.433460425023231,False,False,11,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step16/fit.json,,True,10,1,0,5,5,0,54.301980536268964,44.37392445080948,33.75877440605532,9.65386154524219,3.628351804581281,False,False,False
IHTest_202104_DistStA,path29,path29_step20,IHTest_202104_DistStA / path29 / path29_step20,with_prior_cyl,False,True,True,missing_session_json,,,2.840636530731477,2.658485780620872,1.000834278970696,True,True,8,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step20/fit.json,,True,8,0,0,0,8,0,5.55824049504843,0.3328532935024712,0.9959370452350844,1.3068495936389297,0.07956090232414681,False,False,False
IHTest_202104_DistStA,path29,path29_step22,IHTest_202104_DistStA / path29 / path29_step22,with_prior_cyl,False,True,True,missing_session_json,,,7.3592230131122784,7.1481195839034415,1.750014220210068,False,True,9,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step22/fit.json,,True,9,0,0,0,9,0,35.479622940816135,1.3054495875354244,8.332337709605028,16.90728190598638,0.49832590648650665,False,False,False
IHTest_202104_DistStA,path29,path29_step5,IHTest_202104_DistStA / path29 / path29_step5,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,computed_r4p0_frozen,,,False,0,0,0,0,0,0,,,,,,False,False,False
IHTest_202104_DistStA,path29,path29_step8,IHTest_202104_DistStA / path29 / path29_step8,with_prior_cyl,False,True,True,missing_session_json,,,158.21040690996085,155.5509674463832,28.886491325697886,False,False,9,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step8/fit.json,,True,8,1,0,0,8,0,73.42573409898296,51.12054726467785,49.53226472588878,31.71527583909951,10.168925431871662,False,False,False
IHTest_202104_DistStA,path2,path2_step1,IHTest_202104_DistStA / path2 / path2_step1,with_prior_cyl,False,True,True,missing_session_json,,,0.699495906443127,0.668058878290198,0.20734478114564217,True,True,8,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path2/path2_step1/fit.json,,True,8,0,0,0,5,3,1.4804962263950687,0.15372296682563477,0.36769655614283997,2.0598924345561898,0.15026978267894364,False,True,True
IHTest_202104_DistStA,path2,path2_step2,IHTest_202104_DistStA / path2 / path2_step2,with_prior_cyl,False,True,True,missing_session_json,,,1.4434199433218604,1.1816876517462305,0.8289001305885785,True,True,8,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path2/path2_step2/fit.json,,True,8,0,0,0,5,3,1.2804130839672225,0.182623021993508,0.40985469213916076,1.380452408235243,0.15050518717005446,False,True,True
IHTest_202104_DistStA,path2,path2_step9,IHTest_202104_DistStA / path2 / path2_step9,with_prior_cyl,False,True,True,missing_session_json,,,1.0818291102733306,1.0409037781605273,0.29474319066931176,True,True,8,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path2/path2_step9/fit.json,,True,8,0,0,0,6,2,1.503982274601531,0.18030925360491862,0.34740472224812186,1.2881934390292855,0.09286163231955769,False,True,True
IHTest_202104_DistStA,path32,path32_step1,IHTest_202104_DistStA / path32 / path32_step1,with_prior_cyl,False,True,True,missing_session_json,,,2.336662709801669,2.273961174197194,0.5376738766402911,True,True,10,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path32/path32_step1/fit.json,,True,10,0,0,0,10,0,16.702781976503946,4.662547666267052,5.203005599197222,4.603263470626224,0.9476518895689949,False,False,False
IHTest_202104_DistStA,path32,path32_step10,IHTest_202104_DistStA / path32 / path32_step10,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,computed_r4p0_frozen,,,False,0,0,0,0,0,0,,,,,,False,False,False
IHTest_202104_DistStA,path32,path32_step12,IHTest_202104_DistStA / path32 / path32_step12,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,computed_r4p0_frozen,,,False,0,0,0,0,0,0,,,,,,False,False,False
IHTest_202104_DistStA,path32,path32_step18,IHTest_202104_DistStA / path32 / path32_step18,with_prior_cyl,False,True,True,missing_session_json,,,458.33868177025107,457.7425487015194,23.368917714104754,False,False,8,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path32/path32_step18/fit.json,,True,6,2,0,0,6,0,83.53363323869793,51.346373869780095,49.661105263535354,27.02871738069082,14.254355215455584,False,False,False
IHTest_202104_DistStA,path32,path32_step21,IHTest_202104_DistStA / path32 / path32_step21,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,computed_r4p0_frozen,,,False,0,0,0,0,0,0,,,,,,False,False,False
IHTest_202104_DistStA,path32,path32_step5,IHTest_202104_DistStA / path32 / path32_step5,with_prior_cyl,False,True,True,missing_session_json,,,7.511952087514382,3.4389702851922253,6.6785408243625035,False,True,11,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path32/path32_step5/fit.json,,True,11,0,0,0,11,0,71.63028557210704,2.842468013010981,10.382979493777858,50.5917138336457,0.871400044470839,False,False,False
IHTest_202104_DistStA,path32,path32_step8,IHTest_202104_DistStA / path32 / path32_step8,with_prior_cyl,False,True,True,missing_session_json,,,6.232579226773502,5.757535384113435,2.3865938319476,False,True,11,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path32/path32_step8/fit.json,,True,10,1,0,0,10,0,68.28477056680772,2.0436128434529843,11.325472780487669,26.95155650078962,0.5333557882186231,False,False,False
IHTest_202104_DistStA,path6,path6_step1,IHTest_202104_DistStA / path6 / path6_step1,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,computed_r4p0_frozen,,,False,0,0,0,0,0,0,,,,,,False,False,False
IHTest_202104_DistStA,path6,path6_step9,IHTest_202104_DistStA / path6 / path6_step9,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,computed_r4p0_frozen,,,False,0,0,0,0,0,0,,,,,,False,False,False
IHTest_202104_DistStA,path9,path9_step1,IHTest_202104_DistStA / path9 / path9_step1,with_prior_cyl,False,True,True,missing_session_json,,,0.9464568375534937,0.758999793915386,0.565420072325136,True,True,8,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path9/path9_step1/fit.json,,True,8,0,0,0,5,3,0.9669042572332288,0.18152417505173776,0.28363408607565854,0.6670535826365693,0.15105999027796457,True,True,True
