collection,path,step,scene,source_pool,has_session_json,has_fit_json,fit_ready,annotation_status,verdict,exclusion_reason,fit_rmse_total_px,fit_rmse_u_px,fit_rmse_v_px,rmse_pass_le_5px,rmse_pass_le_10px,num_picked_pairs,elapsed_seconds_raw,elapsed_seconds_plausible_for_summary,timing_exclusion_reason,replacement_count,clear_count,distance_agreement_status,fit_json,session_json
IHTest_202104_DistStA,path32,path32_step10,IHTest_202104_DistStA / path32 / path32_step10,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,pending_recompute_after_completed_labels,,
IHTest_202104_DistStA,path32,path32_step12,IHTest_202104_DistStA / path32 / path32_step12,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,pending_recompute_after_completed_labels,,
IHTest_202104_DistStA,path32,path32_step18,IHTest_202104_DistStA / path32 / path32_step18,with_prior_cyl,False,True,True,missing_session_json,,,458.33868177025107,457.7425487015194,23.368917714104754,False,False,8,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path32/path32_step18/fit.json,
IHTest_202104_DistStA,path32,path32_step21,IHTest_202104_DistStA / path32 / path32_step21,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,pending_recompute_after_completed_labels,,
IHTest_202104_DistStA,path32,path32_step5,IHTest_202104_DistStA / path32 / path32_step5,with_prior_cyl,False,True,True,missing_session_json,,,7.511952087514382,3.4389702851922253,6.6785408243625035,False,True,11,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path32/path32_step5/fit.json,
IHTest_202104_DistStA,path32,path32_step8,IHTest_202104_DistStA / path32 / path32_step8,with_prior_cyl,False,True,True,missing_session_json,,,6.232579226773502,5.757535384113435,2.3865938319476,False,True,11,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path32/path32_step8/fit.json,
IHTest_202104_DistStA,path6,path6_step1,IHTest_202104_DistStA / path6 / path6_step1,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,pending_recompute_after_completed_labels,,
IHTest_202104_DistStA,path6,path6_step9,IHTest_202104_DistStA / path6 / path6_step9,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,pending_recompute_after_completed_labels,,
IHTest_202104_DistStA,path9,path9_step1,IHTest_202104_DistStA / path9 / path9_step1,with_prior_cyl,False,True,True,missing_session_json,,,0.9464568375534937,0.758999793915386,0.565420072325136,True,True,8,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path9/path9_step1/fit.json,
IHTest_202104_DistStA,path9,path9_step16,IHTest_202104_DistStA / path9 / path9_step16,with_prior_cyl,False,True,True,missing_session_json,,,0.5706823417989847,0.5206790733309495,0.23360573160005488,True,True,9,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path9/path9_step16/fit.json,
IHTest_202108_DistStA,path4,path4_step22,IHTest_202108_DistStA / path4 / path4_step22,with_prior_cyl,False,True,True,missing_session_json,,,1.0562370667587615,0.930901746064744,0.499057792614005,True,True,8,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202108_DistStA/path4/path4_step22/fit.json,
IHTest_202009_DistStA,path1,path1_step1,IHTest_202009_DistStA / path1 / path1_step1,without_prior_cyl,True,True,True,annotated,good,,4.1762472582486,4.07094991712958,0.9318840776897176,True,True,8,235.898256,235.898256,,0,0,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path1/path1_step1/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path1/path1_step1/session.json
IHTest_202009_DistStA,path1,path1_step2,IHTest_202009_DistStA / path1 / path1_step2,without_prior_cyl,True,True,True,annotated,good,,1.3489221053240341,1.216716429584714,0.5824019026500953,True,True,8,530.326548,530.326548,,0,0,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path1/path1_step2/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path1/path1_step2/session.json
IHTest_202009_DistStA,path1,path1_step3,IHTest_202009_DistStA / path1 / path1_step3,without_prior_cyl,True,True,True,annotated,good,,0.47149406425259127,0.4616221638152958,0.09597723948890627,True,True,8,187.455074,187.455074,,0,0,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path1/path1_step3/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path1/path1_step3/session.json
IHTest_202009_DistStA,path3,path3_step1,IHTest_202009_DistStA / path3 / path3_step1,without_prior_cyl,True,True,True,annotated,bad,,9.368535167247595,5.989772891929048,7.20361519537703,False,True,15,574.475203,574.475203,,14,0,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step1/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step1/session.json
IHTest_202009_DistStA,path3,path3_step2,IHTest_202009_DistStA / path3 / path3_step2,without_prior_cyl,True,True,True,annotated,bad,,9.926621804863268,9.378107245334249,3.2540628377147427,False,True,15,403.291203,403.291203,,18,0,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step2/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step2/session.json
IHTest_202009_DistStA,path3,path3_step3,IHTest_202009_DistStA / path3 / path3_step3,without_prior_cyl,True,True,True,annotated,bad,,14.62031422742191,12.954299633232415,6.777883823214295,False,False,12,975.052729,975.052729,,45,0,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step3/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step3/session.json
IHTest_202009_DistStA,path3,path3_step4,IHTest_202009_DistStA / path3 / path3_step4,without_prior_cyl,True,True,True,annotated,usable with caution,,1.7288933910102149,1.2358067332690064,1.2090715758323767,True,True,8,217.196968,217.196968,,2,0,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step4/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step4/session.json
IHTest_202009_DistStA,path3,path3_step5,IHTest_202009_DistStA / path3 / path3_step5,without_prior_cyl,True,True,True,annotated,usable with caution,,16.562666959313663,7.698345250486352,14.664836078506122,False,False,11,622.757151,622.757151,,30,0,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step5/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step5/session.json
IHTest_202009_DistStA,path3,path3_step6,IHTest_202009_DistStA / path3 / path3_step6,without_prior_cyl,True,True,True,annotated,good,,1.5871155708681748,1.3951114529111428,0.7567032901001374,True,True,9,230.050991,230.050991,,2,0,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step6/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step6/session.json
IHTest_202009_DistStA,path4,path4_step1,IHTest_202009_DistStA / path4 / path4_step1,without_prior_cyl,True,True,True,annotated,bad,,43.16022058178576,39.658493760114965,17.02963632457621,False,False,9,556.390081,556.390081,,4,0,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step1/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step1/session.json
IHTest_202009_DistStA,path4,path4_step10,IHTest_202009_DistStA / path4 / path4_step10,without_prior_cyl,True,True,True,annotated,bad,,9.525603614434383,9.02550617296824,3.0458763174228762,False,True,8,170.947782,170.947782,,1,0,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step10/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step10/session.json
IHTest_202009_DistStA,path4,path4_step11,IHTest_202009_DistStA / path4 / path4_step11,without_prior_cyl,True,True,True,annotated,bad,,4.727202987233276,3.8232942389554183,2.7800843952796686,True,True,8,151.891803,151.891803,,2,0,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step11/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step11/session.json
IHTest_202009_DistStA,path4,path4_step12,IHTest_202009_DistStA / path4 / path4_step12,without_prior_cyl,True,True,True,annotated,bad,,23.20121282091034,20.64532864799177,10.586155174452358,False,False,10,485.189745,485.189745,,5,0,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step12/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step12/session.json
IHTest_202009_DistStA,path4,path4_step13,IHTest_202009_DistStA / path4 / path4_step13,without_prior_cyl,True,True,True,annotated,usable with caution,,5.818113112178629,4.437918982890139,3.7623550187891954,False,True,10,471.629371,471.629371,,1,0,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step13/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step13/session.json
IHTest_202009_DistStA,path4,path4_step14,IHTest_202009_DistStA / path4 / path4_step14,without_prior_cyl,True,True,True,annotated,bad,,14.21329547558072,12.913907786452052,5.937066107024283,False,False,10,704.880125,704.880125,,12,0,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step14/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step14/session.json
IHTest_202009_DistStA,path4,path4_step15,IHTest_202009_DistStA / path4 / path4_step15,without_prior_cyl,True,True,True,annotated,usable with caution,,17.17735080187731,16.760592352894342,3.760840936659607,False,False,10,319.767541,319.767541,,7,0,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step15/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step15/session.json
IHTest_202009_DistStA,path4,path4_step16,IHTest_202009_DistStA / path4 / path4_step16,without_prior_cyl,True,False,False,no_fit_ready,,,,,,False,False,0,0.0,,,0,0,pending_recompute_after_completed_labels,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step16/session.json
IHTest_202009_DistStA,path4,path4_step2,IHTest_202009_DistStA / path4 / path4_step2,without_prior_cyl,True,True,True,annotated,bad,,211.51113712906863,210.28292648793035,22.760754761285007,False,False,9,297.540112,297.540112,,3,0,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step2/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step2/session.json
