scene_id,collection,path,step,source_pool,fit_rmse_total_px,num_picked_pairs,fitted_cyl,fit_json
IHTest_202108_DistStA/Path12_DistStA/Path12_Step1,IHTest_202108_DistStA,path12,path12_step1,without_prior_cyl,7.023650265187886,9,analysis/annotation_workspace_nocyl/IHTest_202108_DistStA/path12/path12_step1/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202108_DistStA/path12/path12_step1/fit.json
IHTest_202108_DistStA/Path12_DistStA/Path12_Step2,IHTest_202108_DistStA,path12,path12_step2,without_prior_cyl,1.7089676247760535,9,analysis/annotation_workspace_nocyl/IHTest_202108_DistStA/path12/path12_step2/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202108_DistStA/path12/path12_step2/fit.json
IHTest_202108_DistStA/Path12_DistStA/Path12_Step3,IHTest_202108_DistStA,path12,path12_step3,without_prior_cyl,2.34189311516586,8,analysis/annotation_workspace_nocyl/IHTest_202108_DistStA/path12/path12_step3/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202108_DistStA/path12/path12_step3/fit.json
IHTest_202108_DistStA/Path12_DistStA/Path12_Step4,IHTest_202108_DistStA,path12,path12_step4,without_prior_cyl,14.279124527351517,8,analysis/annotation_workspace_nocyl/IHTest_202108_DistStA/path12/path12_step4/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202108_DistStA/path12/path12_step4/fit.json
IHTest_202108_DistStA/Path12_DistStA/Path12_Step5,IHTest_202108_DistStA,path12,path12_step5,without_prior_cyl,29.86074394643603,8,analysis/annotation_workspace_nocyl/IHTest_202108_DistStA/path12/path12_step5/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202108_DistStA/path12/path12_step5/fit.json
IHTest_202108_DistStA/Path2_DistStA/Path2_Step1,IHTest_202108_DistStA,path2,path2_step1,without_prior_cyl,7.768033838020311,8,analysis/annotation_workspace_nocyl/IHTest_202108_DistStA/path2/path2_step1/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202108_DistStA/path2/path2_step1/fit.json
IHTest_202108_DistStA/Path2_DistStA/Path2_Step2,IHTest_202108_DistStA,path2,path2_step2,without_prior_cyl,18.19143466604968,9,analysis/annotation_workspace_nocyl/IHTest_202108_DistStA/path2/path2_step2/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202108_DistStA/path2/path2_step2/fit.json
IHTest_202108_DistStA/Path2_DistStA/Path2_Step3,IHTest_202108_DistStA,path2,path2_step3,without_prior_cyl,2.4500239003773423,8,analysis/annotation_workspace_nocyl/IHTest_202108_DistStA/path2/path2_step3/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202108_DistStA/path2/path2_step3/fit.json
IHTest_202108_DistStA/Path2_DistStA/Path2_Step4,IHTest_202108_DistStA,path2,path2_step4,without_prior_cyl,3.407031658442644,8,analysis/annotation_workspace_nocyl/IHTest_202108_DistStA/path2/path2_step4/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202108_DistStA/path2/path2_step4/fit.json
IHTest_202108_DistStA/Path4_DistStA/Path4_Step6,IHTest_202108_DistStA,path4,path4_step6,without_prior_cyl,2.275181869602108,8,analysis/annotation_workspace_nocyl/IHTest_202108_DistStA/path4/path4_step6/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202108_DistStA/path4/path4_step6/fit.json
IHTest_202108_DistStA/Path9_DistStA/Path9_Step11,IHTest_202108_DistStA,path9,path9_step11,without_prior_cyl,1.2798288367159676,8,analysis/annotation_workspace_nocyl/IHTest_202108_DistStA/path9/path9_step11/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202108_DistStA/path9/path9_step11/fit.json
IHTest_202108_DistStA/Path9_DistStA/Path9_Step17,IHTest_202108_DistStA,path9,path9_step17,without_prior_cyl,2.8394956598346353,8,analysis/annotation_workspace_nocyl/IHTest_202108_DistStA/path9/path9_step17/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202108_DistStA/path9/path9_step17/fit.json
IHTest_202204_DistStA-20221110/Path12_DistStA/Path12_Step1,IHTest_202204_DistStA-20221110,path12,path12_step1,without_prior_cyl,1.960327110800648,11,analysis/annotation_workspace_nocyl/IHTest_202204_DistStA-20221110/path12/path12_step1/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202204_DistStA-20221110/path12/path12_step1/fit.json
IHTest_202204_DistStA-20221110/Path13_DistStA/Path13_Step1,IHTest_202204_DistStA-20221110,path13,path13_step1,without_prior_cyl,4.683945348733446,9,analysis/annotation_workspace_nocyl/IHTest_202204_DistStA-20221110/path13/path13_step1/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202204_DistStA-20221110/path13/path13_step1/fit.json
IHTest_202204_DistStA-20221110/Path13_DistStA/Path13_Step10,IHTest_202204_DistStA-20221110,path13,path13_step10,without_prior_cyl,2.003052285968094,8,analysis/annotation_workspace_nocyl/IHTest_202204_DistStA-20221110/path13/path13_step10/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202204_DistStA-20221110/path13/path13_step10/fit.json
IHTest_202204_DistStA-20221110/Path13_DistStA/Path13_Step11,IHTest_202204_DistStA-20221110,path13,path13_step11,without_prior_cyl,7.099843409955874,8,analysis/annotation_workspace_nocyl/IHTest_202204_DistStA-20221110/path13/path13_step11/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202204_DistStA-20221110/path13/path13_step11/fit.json
IHTest_202204_DistStA-20221110/Path13_DistStA/Path13_Step12,IHTest_202204_DistStA-20221110,path13,path13_step12,without_prior_cyl,18.426594412057405,8,analysis/annotation_workspace_nocyl/IHTest_202204_DistStA-20221110/path13/path13_step12/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202204_DistStA-20221110/path13/path13_step12/fit.json
IHTest_202204_DistStA-20221110/Path13_DistStA/Path13_Step13,IHTest_202204_DistStA-20221110,path13,path13_step13,without_prior_cyl,1.866844133396812,10,analysis/annotation_workspace_nocyl/IHTest_202204_DistStA-20221110/path13/path13_step13/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202204_DistStA-20221110/path13/path13_step13/fit.json
IHTest_202204_DistStA-20221110/Path13_DistStA/Path13_Step14,IHTest_202204_DistStA-20221110,path13,path13_step14,without_prior_cyl,2.9126537131797647,10,analysis/annotation_workspace_nocyl/IHTest_202204_DistStA-20221110/path13/path13_step14/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202204_DistStA-20221110/path13/path13_step14/fit.json
IHTest_202204_DistStA-20221110/Path13_DistStA/Path13_Step15,IHTest_202204_DistStA-20221110,path13,path13_step15,without_prior_cyl,27.06027442596279,10,analysis/annotation_workspace_nocyl/IHTest_202204_DistStA-20221110/path13/path13_step15/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202204_DistStA-20221110/path13/path13_step15/fit.json
